"displacement","position","xPushDuration","xPullDuration","yPushDuration","yPullDuration","zPushDuration","zPullDuration"
"1",0,0,3000,5000,16355.5,10291.6,6000,27318.4
"2",0,21,3000,5000,15020.9,11124.9,6000,27140.9
"3",0,42,3000,5000,13886.8,12235.8,6000,26894.1
"4",0,63,3000,5000,12891.6,13801.9,6000,26546.9
"5",0,84,3000,5000,11988.9,16185.8,6000,26045.4
"6",0,104,3000,5000,11202,20112.7,6000,25335.7
"7",0,125,3000,5000,10430.5,31114.1,6000,24155.3
"8",0,146,3000,5000,9689.9,3500,6000,22095.4
"9",0,167,3000,5000,8987.8,3500,6000,19657.5
"10",0,188,3000,5000,8293.5,3500,6000,18322.8
"11",0,209,3000,5000,7606.9,21717.4,6000,11000
"12",0,230,3000,5000,6912.5,18592.9,6000,11000
"13",0,251,3000,5000,6156.5,16185.8,6000,11000
"14",0,271,3000,5000,5385,14403.7,6000,11000
"15",0,292,3000,5000,5000,12953.3,6000,11000
"16",0,313,3000,5000,5000,11826.9,6000,11000
"17",0,334,3000,5000,5000,10947.4,6000,11000
"18",0,355,3000,5000,5000,10260.8,6000,11000
"19",0,376,3000,5000,5000,9720.7,6000,11000
"20",0,397,3000,5000,5000,9304.1,6000,11000
"21",0,418,3000,5000,5000,8995.5,6000,11000
"22",0,438,3000,5000,5000,8779.5,6000,11000
"23",0,459,3000,5000,5000,8617.5,6000,11000
"24",0,480,3000,5000,5000,8494.1,6000,11000
"25",0,501,3000,5000,5000,8386.1,6000,11000
"26",0,522,3000,5000,5000,8262.6,6000,11000
"27",0,543,3000,5000,5000,8116,6000,11000
"28",0,564,3000,5000,5000,7915.5,6000,11000
"29",0,585,3000,5000,5000,7668.6,6000,11000
"30",0,605,3000,5000,5000,7367.7,6000,11000
"31",0,626,3000,5000,5000,6989.7,6000,11000
"32",0,647,3000,5000,5000,6565.4,6000,11000
"33",0,668,3000,5000,5000,6133.3,6000,11000
"34",0,689,3000,5000,5000,5732.2,6000,11000
"35",0,710,3000,5000,5000,3500,6000,11000
"36",0,731,3000,5000,5000,3500,6000,11000
"37",0,752,3000,5000,5000,3500,6000,11000
"38",0,772,3000,5000,5000,3500,6000,11000
"39",0,793,3000,5000,5000,3500,6000,11000
"40",0,814,3000,5000,5000,3500,6000,11000
"41",0,835,3000,5000,5000,3500,6000,11000
"42",0,856,3000,5000,5000,3500,6000,11000
"43",0,877,3000,5000,5000,3500,6000,11000
"44",0,898,3000,5000,5000,3500,6000,11000
"45",0,919,3000,5000,5000,3500,6000,11000
"46",0,939,3000,5000,5000,3500,8370.6,11000
"47",0,960,3000,5000,5000,3965.4,17713.4,11000
"48",0,981,3000,5000,5000,3610.6,38566.7,11000
"49",0,1002,3000,5000,5000,3500,38566.7,11000
"50",0,1023,3000,22581.4,6681.1,3500,6000,33243.4
"51",21,0,10692.8,22581.4,21979.7,3500,6000,33243.4
"52",21,21,10222.2,19850.4,20591,3500,6000,33937.7
"53",21,42,9844.2,17582.2,19387.5,3500,6000,34909.8
"54",21,63,9527.9,15692.1,18361.4,3500,6000,36506.8
"55",21,84,9242.4,14102.8,17474.2,3500,6000,38566.7
"56",21,104,8980.1,12822.1,16718.1,20112.7,6000,38566.7
"57",21,125,8710.1,11664.9,16008.4,31114.1,6000,38566.7
"58",21,146,8424.6,10654.2,15368,3500,6000,38566.7
"59",21,167,8116,9774.7,14774,38566.7,6000,37185.7
"60",21,188,7768.9,8987.8,14226.2,26878.6,6000,35727.6
"61",21,209,7383.1,8285.8,13717.1,21717.4,6000,34315.8
"62",21,230,6958.8,7653.2,13246.4,18592.9,6025.3,32934.8
"63",21,251,6495.9,7090,12814.4,16185.8,6164.2,31615.6
"64",21,271,6017.6,6603.9,12428.7,14403.7,6056.2,30427.5
"65",21,292,5500.7,6156.5,12050.6,12953.3,6000,29262.5
"66",21,313,4999.2,5747.6,11688,11826.9,6000,28182.4
"67",21,334,4528.6,5392.7,11348.6,10947.4,6000,27179.5
"68",21,355,4104.3,5076.4,11040,10260.8,6000,26246
"69",21,376,3726.3,5000,10754.5,9720.7,6000,25358.8
"70",21,397,3394.5,5000,10499.9,9304.1,6000,24471.6
"71",21,418,3109.1,5000,10283.9,8995.5,6000,23538.1
"72",21,438,3000,5000,10129.6,8779.5,6000,22542.9
"73",21,459,3000,5000,9998.5,8617.5,6000,21323.9
"74",21,480,3000,5000,9882.8,8494.1,6000,19950.7
"75",21,501,3000,5000,9782.5,8386.1,6000,18839.7
"76",21,522,3000,5000,9666.7,8262.6,6000,18106.8
"77",21,543,3000,5000,9527.9,8116,6000,17636.2
"78",21,564,3000,5000,9358.1,7915.5,6000,17335.3
"79",21,585,3000,5000,9126.7,7668.6,6000,17134.7
"80",21,605,3000,5000,8849,7367.7,6000,17003.6
"81",21,626,3000,5000,8463.2,6989.7,6000,16887.9
"82",21,647,3000,5000,7984.9,6565.4,6000,16779.9
"83",21,668,3000,5000,7421.7,6133.3,6000,16664.1
"84",21,689,3000,5000,6812.2,5732.2,6000,16533
"85",21,710,3000,5000,6202.8,5385,6000,16378.7
"86",21,731,3000,5000,5631.9,5091.8,6000,16209
"87",21,752,3000,5000,5130.4,4852.7,6000,16031.5
"88",21,772,3000,5000,5000,4675.2,6000,15846.4
"89",21,793,3000,5000,5000,4536.3,6000,15638.1
"90",21,814,3000,5000,5000,4428.3,6000,15398.9
"91",21,835,3000,5000,5000,4366.6,6000,15082.6
"92",21,856,3116.8,5000,5000,4343.5,6000,14635.1
"93",21,877,3340.5,5000,5000,4328,7552.9,14002.5
"94",21,898,3610.6,5000,5000,4312.6,10276.2,13092.1
"95",21,919,3950,5000,5323.3,4266.3,14743.1,11711.2
"96",21,939,4343.5,5000,6233.6,4166,22674,11000
"97",21,960,4883.5,5000,7722.6,3965.4,17713.4,11000
"98",21,981,5577.9,5000,10145.1,3610.6,38566.7,11000
"99",21,1002,6511.4,5000,14442.2,3500,38566.7,11000
"100",21,1023,7815.2,5000,23322.1,3500,6000,36992.8
"101",42,0,15352.6,38566.7,25119.6,3500,6000,36992.8
"102",42,21,14712.3,32525.9,23877.5,3500,6000,38242.6
"103",42,42,14156.8,28167,22720.3,3500,6000,38566.7
"104",42,63,13678.5,25034.8,21678.8,3500,6000,38566.7
"105",42,84,13254.2,22604.6,20737.6,3500,6000,38566.7
"106",42,104,12876.1,20722.2,19943,3500,6000,38566.7
"107",42,125,12490.4,19063.5,19186.9,31114.1,6000,38566.7
"108",42,146,12112.4,17636.2,18515.7,38566.7,6843.1,38566.7
"109",42,167,11734.3,16409.5,17898.5,38566.7,7691.7,38566.7
"110",42,188,11333.2,15337.2,17335.3,26878.6,8370.6,38566.7
"111",42,209,10901.1,14396,16818.4,38566.7,8895.3,38566.7
"112",42,230,10438.2,13562.8,16347.8,31322.4,9142.1,38011.2
"113",42,251,9936.8,12822.1,15938.9,26624,9180.7,36823.1
"114",42,271,9419.9,12197.2,15591.8,23545.8,9065,35812.5
"115",42,292,8841.2,11603.2,15260,21154.2,8825.8,34863.5
"116",42,313,8247.2,11055.4,14959.1,19310.3,8501.8,34022.6
"117",42,334,7668.6,10561.7,14689.1,17852.2,8123.8,33274.3
"118",42,355,7120.8,10098.8,14434.5,16702.7,7722.6,32610.8
"119",42,376,6603.9,9666.7,14210.8,15792.4,7344.6,32009
"120",42,397,6141,9265.6,14002.5,15090.3,7028.3,31461.3
"121",42,418,5732.2,8887.5,13817.3,14558,6796.8,30959.8
"122",42,438,5392.7,8555.8,13663,14195.4,6642.5,30504.6
"123",42,459,5084.1,8231.8,13524.2,13909.9,6542.2,30049.4
"124",42,480,4821.8,7923.2,13400.7,13701.6,6495.9,29609.7
"125",42,501,4613.5,7645.4,13277.3,13531.9,6495.9,29185.4
"126",42,522,4443.8,7390.9,13153.9,13369.9,6526.8,28753.3
"127",42,543,4320.3,7151.7,13015,13200.2,6588.5,28321.3
"128",42,564,4235.5,6935.7,12860.7,12991.9,6657.9,27889.3
"129",42,585,4181.5,6742.8,12683.3,12737.3,6742.8,27441.8
"130",42,605,4158.3,6580.8,12467.2,12428.7,6827.7,26994.4
"131",42,626,4150.6,6426.5,12197.2,12019.8,6912.5,26508.3
"132",42,647,4173.7,6295.3,11857.8,11526,7005.1,25983.7
"133",42,668,4220,6179.6,11448.9,10970.6,7113.1,25420.5
"134",42,689,4289.5,6094.8,10993.7,10399.7,7252,24803.3
"135",42,710,4382,6025.3,10515.4,9836.5,7437.1,24147.6
