"displacement","position","xPushDuration","xPullDuration","yPushDuration","yPullDuration","zPushDuration","zPullDuration"
"1",0,0,20083.7,5000,5165.7,3500,6000,13000
"2",0,21,19558.7,5000,5134.8,3500,6000,13000
"3",0,42,19079.9,5000,5096.2,3500,6000,13000
"4",0,63,18639.8,5000,5049.9,3500,6000,13000
"5",0,84,18246,5000,5000,3500,6000,13000
"6",0,104,17906.3,5000,5000,3500,6000,13000
"7",0,125,17574.2,5000,5000,3500,6000,13000
"8",0,146,17288.5,5000,5000,3500,6000,13000
"9",0,167,17049.2,5000,5000,3500,6000,13000
"10",0,188,16863.9,5000,5000,3500,6000,13000
"11",0,209,16755.8,5000,5000,3500,6000,13000
"12",0,230,16740.3,5000,5000,3500,6000,13000
"13",0,251,16825.2,5000,5000,3500,6000,13000
"14",0,271,16987.4,5000,5000,3500,6000,13000
"15",0,292,17234.5,5000,5000,3500,6000,13000
"16",0,313,17527.9,5000,5000,3500,6000,13000
"17",0,334,17867.7,5000,5000,3500,6000,13000
"18",0,355,18238.3,5000,5000,3500,6000,13000
"19",0,376,18632.1,5000,5000,3500,6000,13000
"20",0,397,19049,5000,5000,3500,6000,13000
"21",0,418,19442.8,5000,5000,3500,6000,13000
"22",0,438,19751.7,5000,5000,3500,6000,13000
"23",0,459,19859.8,5000,5000,3500,6000,13000
"24",0,480,19489.2,5000,5000,3500,6000,13000
"25",0,501,18802,5000,5000,3500,6000,13000
"26",0,522,18253.7,5000,9335.3,3500,6000,13000
"27",0,543,18053,5000,10285.1,3500,6000,13000
"28",0,564,18392.7,5000,11227.1,3500,6000,13000
"29",0,585,26909.6,5000,12223.2,3500,6000,13000
"30",0,605,24114.4,5000,13304.2,3500,6000,13000
"31",0,626,3000,5000,14817.6,3500,6000,13000
"32",0,647,3000,5000,17589.7,3500,6000,13000
"33",0,668,3000,5000,27604.5,3500,6000,13000
"34",0,689,3000,5000,5000,3500,6000,13000
"35",0,710,3000,5000,5000,3500,20199.6,13000
"36",0,731,3000,5000,5000,3500,20276.8,13000
"37",0,752,3000,5000,5000,3500,20732.3,13000
"38",0,772,3000,5000,5000,3500,28314.9,13000
"39",0,793,3000,5000,5000,3500,6000,13000
"40",0,814,3000,5000,5000,4725.6,6000,13000
"41",0,835,3000,5000,5000,6115.5,6000,13000
"42",0,856,3000,5000,5000,7613.4,6000,13000
"43",0,877,3000,5000,5000,9165.5,6000,13000
"44",0,898,3000,5000,5000,10678.9,16199.8,13000
"45",0,919,3000,5000,5000,12076.5,6000,13000
"46",0,939,3000,5000,5000,13242.4,6000,13000
"47",0,960,3000,5000,5000,14238.5,6000,13000
"48",0,981,3000,5000,5000,15010.7,6000,13000
"49",0,1002,3000,5000,5000,15582.1,6000,13000
"50",0,1023,3000,5000,9103.7,15991.3,6000,13000
"51",21,0,32669.9,20076,9103.7,3500,20879.1,13000
"52",21,21,31866.8,22871.2,9134.6,3500,20894.5,13000
"53",21,42,31125.5,25635.5,9165.5,3500,20909.9,13000
"54",21,63,30469.2,27843.9,9196.4,3500,20925.4,13000
"55",21,84,29897.8,28917.2,9235,3500,20940.8,13000
"56",21,104,29450,28677.8,9273.6,3500,20956.3,13000
"57",21,125,29071.6,27473.3,9312.2,3500,20979.4,13000
"58",21,146,28801.4,25952.1,9350.8,3500,21002.6,13000
"59",21,167,28631.5,24616.3,9397.1,3500,7258.3,13000
"60",21,188,28577.4,23759.2,9443.4,3500,7374.1,13000
"61",21,209,28662.4,23543,9497.5,3500,7513.1,13000
