"x","y","z","r","thetay","thetaz"
"1",411.2,590.8,638,35.7,0.3,0.4
"2",276.8,560.5,534.3,37,0.2,0
"3",380.1,380,648.7,39.5,-0.4,0.4
"4",458.8,361.5,503,32.7,-0.5,-0.1
"5",578.6,474.4,598.1,24.7,-0.2,0.4
"6",665.5,362.7,526.2,24.6,-0.7,0
"7",681.5,583.2,618.4,24,0.5,0.6
"8",561.9,590.2,675.1,33.9,0.3,0.7
"9",607.6,515.7,644.2,27.6,0,0.7
"10",469.7,414.2,375.4,38.8,-0.4,-0.6
"11",572.5,513.1,606.5,25.3,0,0.5
"12",536.6,723.7,504.4,35.6,0.7,-0.1
"13",602.5,421.8,651.1,30.5,-0.4,0.6
"14",661.6,519.5,610.3,22.2,0.1,0.6
"15",404.2,372.6,548,34.1,-0.4,0.1
"16",320.8,471,477.8,35.5,-0.1,-0.2
"17",416.4,314.4,580.4,37.9,-0.6,0.2
"18",358.1,558.5,405.5,38.3,0.1,-0.5
"19",436.8,603.4,417,35.6,0.3,-0.5
"20",513.2,312.7,455.4,36.4,-0.7,-0.3
"21",436.2,518.1,373.7,38,0,-0.6
"22",588.1,616.4,537.3,25.1,0.5,0
"23",540.2,565.6,532.3,24.7,0.3,0
"24",516.1,629.3,630.4,32.8,0.5,0.5
"25",362.5,532,579.6,33.4,0.1,0.2
"26",664.7,571.7,630.6,25.3,0.4,0.7
"27",696.1,381.5,550,22.2,-0.7,0.1
"28",531.3,474.2,385.4,34,-0.2,-0.7
"29",557.6,536.9,491,23.9,0.1,-0.2
"30",506.7,565.3,606.9,28.9,0.2,0.4
"31",270.4,589.4,451,39.9,0.2,-0.3
"32",649.8,654,559.3,26,0.7,0.2
"33",526.6,523.6,659,32,0,0.6
"34",293,420.2,511.4,37.1,-0.2,-0.1
"35",527.2,453.3,458.5,27.6,-0.2,-0.4
"36",386,587,456.1,34.6,0.3,-0.3
"37",693.5,628.6,534.7,22.1,0.7,0
"38",418.1,530.8,489.6,30.4,0.1,-0.2
"39",546.4,495.1,659.9,31.5,-0.1,0.7
"40",470.1,593.4,681.1,37.4,0.3,0.6
"41",500.4,482.1,410.2,32.2,-0.1,-0.6
"42",562.3,443,585.8,25.4,-0.3,0.3
"43",450.9,378,556.7,32,-0.4,0.1
"44",461.8,684,563.2,34.9,0.6,0.1
"45",260.2,532.2,492.4,37.9,0.1,-0.1
"46",376.7,416.2,396.5,39.7,-0.3,-0.5
"47",642.2,656,484,27.2,0.7,-0.3
"48",580.7,487.6,605.7,25,-0.1,0.5
"49",348.9,669.4,460.4,39.6,0.5,-0.3
"50",585.1,364.2,574.9,28.2,-0.6,0.2
"51",419,434.1,542.9,30.7,-0.2,0.1
"52",480.7,529.5,533.2,26.7,0.1,0
"53",336.6,606.4,534.4,35.5,0.3,0
"54",707.7,523.6,431.9,22.5,0.1,-0.8
"55",320.9,332.8,534,39.6,-0.5,0
"56",357,433.3,478.7,34.6,-0.2,-0.2
"57",429.3,713,525.1,37.9,0.6,0
"58",485.2,503.9,508.6,26.5,0,-0.1
"59",581.2,562.5,536.1,22.7,0.3,0
"60",472.2,354,509.1,32.5,-0.5,-0.1
"61",579.8,386.1,634.5,31.2,-0.5,0.5
"62",452.5,490.3,480.7,29.1,-0.1,-0.2
"63",431.4,601.4,557.2,31.3,0.3,0.1
"64",460.1,679.2,507.3,34.5,0.6,-0.1
"65",445.6,380.1,639.9,36.5,-0.4,0.4
"66",334.5,373.3,581.5,37.8,-0.4,0.2
"67",454.1,601.1,418.3,34.8,0.3,-0.5
"68",265.5,559.9,615.8,39.8,0.1,0.3
"69",576.4,343.6,530.3,29.2,-0.7,0
"70",589.3,448.9,433.1,27.5,-0.3,-0.6
"71",475.3,424.9,611.3,31.3,-0.3,0.4
"72",445.2,422.3,430.1,34.1,-0.3,-0.4
"73",600.8,616,577.7,25.7,0.5,0.3
"74",556.3,354.5,615.4,32.3,-0.6,0.4
"75",502.6,600,375.8,37.1,0.3,-0.7
"76",634.3,506,504.7,19.5,0,-0.2
"77",406.7,578.2,624.6,34.6,0.2,0.4
"78",258.4,560.7,587.8,38.9,0.1,0.2
"79",666.4,608.3,484,22.8,0.6,-0.3
"80",594.9,540.9,535,21.4,0.2,0
"81",593.2,491.9,408.4,29.1,-0.1,-0.7
"82",473.6,384.4,553.4,30.6,-0.4,0.1
"83",500.1,501.4,398.6,33.2,0,-0.6
"84",512.2,456.5,580.9,26.9,-0.2,0.3
"85",548.8,567.7,643.8,30.4,0.3,0.6
"86",606.9,485.9,497.3,21.2,-0.1,-0.2
"87",515.7,430.9,398.9,34.2,-0.3,-0.6
"88",594.1,573.7,548.5,22.7,0.3,0.1
"89",305.9,667.8,534.4,39.7,0.4,0
"90",644,354.9,556.7,26.3,-0.7,0.1
"91",662.5,418.5,441,25.6,-0.5,-0.6
"92",425.6,436.2,642.1,35.3,-0.3,0.5
"93",462.9,521.3,619.6,30.9,0,0.4
"94",575.4,529.1,469.6,24.2,0.1,-0.4
"95",440.6,606.2,509.5,31,0.4,-0.1
"96",511.6,386.9,466.5,30.6,-0.5,-0.3
"97",435.9,444.3,500.8,30,-0.2,-0.1
"98",485.6,380.4,480.5,31.3,-0.5,-0.2
"99",433.4,600.6,421.4,35.3,0.3,-0.5
"100",525.8,587.8,657.6,33.1,0.3,0.6
